gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
Male,Group E,some college,standard,completed,99,95,76
Female,Group E,associate's degree,standard,none,39,66,44
Female,Group A,associate's degree,free/reduced,completed,65,83,2
Female,Group A,bachelor's degree,free/reduced,completed,86,60,16
Male,Group C,associate's degree,free/reduced,completed,39,12,82
Female,Group C,high school,standard,none,29,86,36
Female,Group B,master's degree,standard,completed,24,82,4
Female,Group B,associate's degree,free/reduced,none,6,79,46
Female,Group C,associate's degree,standard,completed,91,99,43
Male,Group A,high school,free/reduced,none,49,98,87
Male,Group D,some college,free/reduced,none,80,46,32
Male,Group C,some college,free/reduced,none,95,53,20
Male,Group A,high school,standard,completed,0,70,66
Female,Group C,some college,standard,completed,90,51,67
Male,Group E,bachelor's degree,free/reduced,completed,43,100,31
Male,Group C,high school,standard,none,99,71,23
Male,Group E,master's degree,standard,none,48,24,34
Female,Group A,master's degree,standard,completed,6,22,17
Female,Group E,master's degree,free/reduced,none,2,73,66
Female,Group C,associate's degree,free/reduced,none,93,29,53
Male,Group E,high school,free/reduced,completed,0,96,25
Male,Group D,high school,free/reduced,none,50,10,59
Male,Group E,some college,free/reduced,completed,97,34,87
Male,Group E,high school,standard,completed,37,26,64
Female,Group B,high school,free/reduced,none,42,66,50
Male,Group D,some college,standard,completed,54,46,97
Female,Group A,high school,free/reduced,none,56,49,59
Female,Group E,high school,standard,completed,52,7,58
Male,Group D,bachelor's degree,standard,completed,99,54,75
Female,Group A,some college,free/reduced,completed,32,76,16
Male,Group D,bachelor's degree,standard,completed,79,41,84
Male,Group B,associate's degree,standard,completed,61,66,20
Male,Group A,some college,standard,completed,10,19,66
Male,Group A,high school,standard,completed,71,44,27
Female,Group E,high school,standard,none,51,34,88
Female,Group C,bachelor's degree,standard,completed,0,76,43
Male,Group A,bachelor's degree,free/reduced,completed,13,19,69
Female,Group A,associate's degree,standard,none,93,23,61
Female,Group B,associate's degree,free/reduced,none,84,56,41
Female,Group B,high school,standard,completed,20,54,93
Male,Group B,master's degree,standard,none,33,8,95
Male,Group E,associate's degree,standard,completed,89,93,21
Male,Group A,high school,standard,completed,13,88,37
Female,Group B,associate's degree,standard,none,39,15,13
Male,Group B,some college,standard,none,34,54,97
Male,Group D,bachelor's degree,standard,completed,41,71,25
Male,Group D,high school,standard,none,81,57,39
Male,Group B,associate's degree,free/reduced,completed,19,63,53
Male,Group E,bachelor's degree,free/reduced,completed,59,91,12
Male,Group C,master's degree,free/reduced,none,8,75,93
Female,Group D,associate's degree,free/reduced,completed,32,87,18
Male,Group D,high school,standard,none,48,48,41
Female,Group A,some college,standard,none,67,28,40
Male,Group A,bachelor's degree,standard,none,3,78,49
Female,Group B,bachelor's degree,free/reduced,completed,47,81,2
Female,Group A,some college,free/reduced,completed,15,6,30
Female,Group A,high school,free/reduced,completed,46,76,75
Male,Group C,master's degree,standard,none,25,82,14
Male,Group E,some college,standard,completed,69,68,53
Female,Group B,master's degree,free/reduced,none,36,89,52
Female,Group C,high school,standard,none,21,1,44
Male,Group B,associate's degree,standard,completed,6,32,37
Male,Group E,associate's degree,standard,none,41,47,77
Male,Group B,high school,free/reduced,completed,29,36,98
Female,Group A,master's degree,standard,none,73,88,79
Female,Group E,some college,free/reduced,completed,78,88,49
Female,Group C,high school,free/reduced,none,5,29,23
Female,Group C,high school,standard,none,23,40,16
Female,Group D,associate's degree,standard,completed,65,3,17
Male,Group C,some college,standard,completed,39,82,41
Female,Group D,associate's degree,free/reduced,completed,14,90,16
Female,Group A,master's degree,free/reduced,completed,52,38,15
Male,Group C,master's degree,standard,completed,84,23,84
Male,Group E,bachelor's degree,standard,none,81,49,87
Male,Group D,high school,free/reduced,none,4,36,97
Female,Group C,some college,free/reduced,completed,88,52,51
Male,Group A,some college,free/reduced,completed,35,24,35
Female,Group E,associate's degree,free/reduced,none,73,92,90
Male,Group E,associate's degree,free/reduced,none,45,30,38
Female,Group A,some college,standard,completed,22,98,80
Female,Group C,associate's degree,free/reduced,completed,87,91,24
Male,Group B,bachelor's degree,free/reduced,completed,44,37,41
Female,Group C,high school,standard,none,9,57,20
Male,Group D,bachelor's degree,free/reduced,none,53,52,67
Female,Group D,master's degree,free/reduced,none,69,49,88
Female,Group C,some college,standard,none,76,3,58
Female,Group D,bachelor's degree,free/reduced,completed,84,91,29
Male,Group B,bachelor's degree,standard,completed,31,51,56
Female,Group B,associate's degree,free/reduced,completed,42,30,32
Male,Group E,associate's degree,free/reduced,none,14,86,89
Female,Group D,associate's degree,standard,none,65,77,88
Female,Group C,master's degree,free/reduced,completed,14,91,52
Male,Group E,bachelor's degree,free/reduced,completed,80,13,15
Male,Group B,high school,standard,none,19,0,48
Female,Group E,associate's degree,free/reduced,completed,49,42,87
Female,Group A,master's degree,free/reduced,completed,5,95,4
Female,Group D,master's degree,free/reduced,none,78,58,76
Female,Group C,associate's degree,free/reduced,completed,16,60,93
Female,Group B,some college,free/reduced,none,25,40,59
Female,Group E,bachelor's degree,standard,completed,21,17,70
Male,Group C,associate's degree,free/reduced,completed,72,59,80
Female,Group D,high school,free/reduced,completed,63,68,54
Male,Group C,bachelor's degree,standard,none,75,78,90
Female,Group D,master's degree,standard,none,85,58,34
Female,Group D,high school,standard,none,57,41,68
Male,Group D,bachelor's degree,standard,none,86,79,41
Female,Group E,high school,free/reduced,completed,36,99,68
Female,Group D,master's degree,free/reduced,none,77,35,23
Male,Group C,associate's degree,free/reduced,completed,87,39,70
Female,Group A,high school,free/reduced,completed,71,29,70
Male,Group C,associate's degree,free/reduced,completed,89,86,54
Female,Group E,master's degree,free/reduced,completed,95,10,13
Female,Group D,master's degree,free/reduced,completed,27,24,54
Male,Group A,high school,standard,completed,95,44,14
Male,Group E,high school,free/reduced,completed,85,50,4
Female,Group B,master's degree,standard,none,48,42,100
Male,Group B,high school,standard,completed,72,65,3
Male,Group B,high school,standard,none,66,98,29
Male,Group A,high school,free/reduced,completed,88,46,83
Female,Group C,high school,free/reduced,none,75,23,52
Male,Group A,bachelor's degree,standard,completed,92,76,89
Male,Group A,master's degree,free/reduced,none,66,36,72
Male,Group A,master's degree,free/reduced,completed,40,55,29
Male,Group B,some college,standard,none,45,93,85
Male,Group C,associate's degree,standard,none,86,74,93
Female,Group A,some college,free/reduced,none,86,86,83
Female,Group C,high school,standard,completed,54,45,91
Female,Group D,high school,standard,completed,81,27,60
Female,Group A,bachelor's degree,standard,none,10,92,70
Female,Group A,bachelor's degree,free/reduced,none,99,51,67
Male,Group A,bachelor's degree,free/reduced,completed,25,14,91
Male,Group D,bachelor's degree,standard,completed,71,44,54
Female,Group D,bachelor's degree,standard,completed,91,57,98
Male,Group B,bachelor's degree,free/reduced,completed,81,66,96
Male,Group E,bachelor's degree,free/reduced,completed,12,72,70
Male,Group C,bachelor's degree,free/reduced,none,35,71,72
Female,Group E,bachelor's degree,free/reduced,none,63,96,97
Male,Group A,master's degree,free/reduced,none,50,97,41
Male,Group A,bachelor's degree,free/reduced,none,75,72,97
Female,Group B,associate's degree,standard,completed,21,80,76
Female,Group E,bachelor's degree,standard,completed,59,40,28
Male,Group A,high school,standard,none,1,64,34
Male,Group E,high school,free/reduced,completed,55,39,44
Female,Group B,bachelor's degree,standard,completed,39,4,73
Female,Group E,bachelor's degree,standard,none,27,93,93
Male,Group C,high school,standard,none,76,74,89
Male,Group B,associate's degree,standard,completed,96,27,98
Female,Group E,some college,standard,none,2,37,91
Male,Group A,master's degree,standard,completed,62,80,28
Female,Group D,high school,standard,none,97,86,69
Female,Group D,bachelor's degree,free/reduced,completed,22,17,2
Female,Group B,master's degree,standard,none,54,36,92
Male,Group D,bachelor's degree,standard,completed,31,26,56
Male,Group C,some college,free/reduced,completed,83,24,65
Female,Group B,some college,standard,completed,27,68,21
Female,Group A,high school,free/reduced,none,7,82,26
Female,Group A,master's degree,standard,completed,2,26,21
Female,Group B,master's degree,free/reduced,completed,93,76,73
Male,Group D,some college,standard,none,88,53,48
Female,Group D,bachelor's degree,standard,none,52,6,82
Female,Group A,high school,standard,completed,93,89,23
Female,Group C,associate's degree,standard,completed,28,77,26
Male,Group D,some college,standard,none,93,26,35
Female,Group C,some college,free/reduced,none,97,58,16
Female,Group D,high school,standard,completed,88,71,55
Female,Group B,bachelor's degree,free/reduced,completed,80,30,9
Female,Group E,master's degree,standard,none,58,98,53
Female,Group A,some college,standard,completed,23,90,80
Male,Group B,high school,standard,completed,37,67,73
Male,Group D,high school,free/reduced,completed,27,3,73
Male,Group A,high school,free/reduced,none,96,17,37
Female,Group E,master's degree,free/reduced,none,61,62,80
Female,Group E,some college,free/reduced,completed,99,86,89
Male,Group D,high school,free/reduced,completed,50,95,89
Female,Group A,master's degree,standard,completed,6,75,97
Male,Group D,bachelor's degree,standard,none,22,51,3
Female,Group E,associate's degree,free/reduced,completed,45,83,49
Male,Group B,some college,free/reduced,none,89,62,90
Male,Group B,master's degree,standard,completed,77,44,60
Female,Group C,associate's degree,standard,none,27,11,20
Female,Group E,associate's degree,free/reduced,completed,23,7,35
Male,Group E,master's degree,free/reduced,none,6,21,45
Male,Group D,master's degree,standard,none,99,90,94
Female,Group C,master's degree,free/reduced,completed,78,40,70
Male,Group C,high school,standard,none,48,40,43
Female,Group A,bachelor's degree,free/reduced,completed,2,80,63
Male,Group D,high school,free/reduced,none,1,56,97
Female,Group B,associate's degree,standard,completed,6,31,17
Female,Group A,associate's degree,standard,none,79,96,87
Female,Group C,associate's degree,free/reduced,none,20,94,12
Male,Group B,master's degree,standard,completed,8,54,12
Female,Group E,some college,free/reduced,none,11,5,24
Female,Group D,high school,free/reduced,completed,92,38,4
Female,Group C,some college,standard,completed,23,8,38
Male,Group E,bachelor's degree,standard,completed,32,31,28
Female,Group C,bachelor's degree,standard,none,77,35,56
Female,Group B,high school,free/reduced,none,42,15,45
Female,Group A,associate's degree,standard,none,81,11,32
Female,Group B,bachelor's degree,standard,completed,4,40,87
Female,Group D,some college,standard,completed,78,66,9
Male,Group D,some college,free/reduced,none,70,57,57
Female,Group C,master's degree,standard,completed,88,90,24
Female,Group B,associate's degree,standard,none,13,90,73
Male,Group A,master's degree,standard,none,35,8,38
Male,Group D,high school,standard,completed,34,16,15
Male,Group A,bachelor's degree,free/reduced,completed,49,4,59
Male,Group E,master's degree,free/reduced,completed,87,25,27
Female,Group C,master's degree,free/reduced,completed,78,84,75
Male,Group A,high school,free/reduced,none,10,0,43
Female,Group C,some college,standard,completed,23,0,57
Male,Group E,some college,free/reduced,completed,74,34,31
Male,Group A,high school,standard,completed,43,8,62
Female,Group A,some college,free/reduced,none,50,86,92
Male,Group E,high school,standard,completed,16,37,44
Male,Group B,some college,standard,completed,69,3,52
Female,Group A,high school,standard,none,84,51,60
Male,Group A,some college,free/reduced,none,7,18,49
Male,Group D,master's degree,free/reduced,none,78,100,26
Male,Group B,master's degree,free/reduced,completed,95,4,25
Female,Group A,some college,standard,none,73,91,2
Female,Group E,high school,free/reduced,none,27,47,89
Female,Group C,master's degree,standard,completed,78,86,38
Female,Group E,bachelor's degree,free/reduced,completed,11,62,64
Female,Group B,some college,free/reduced,none,42,37,34
Male,Group D,bachelor's degree,free/reduced,completed,81,51,52
Female,Group D,bachelor's degree,free/reduced,completed,36,86,90
Male,Group D,associate's degree,free/reduced,none,87,45,45
Female,Group E,bachelor's degree,standard,completed,62,81,67
Male,Group C,bachelor's degree,free/reduced,completed,100,92,82
Female,Group C,associate's degree,free/reduced,none,92,91,21
Female,Group A,associate's degree,free/reduced,none,62,8,59
Male,Group C,associate's degree,standard,completed,9,49,5
Male,Group C,high school,free/reduced,none,77,73,51
Male,Group A,associate's degree,free/reduced,none,79,65,72
Male,Group E,high school,standard,completed,36,76,74
Female,Group E,some college,free/reduced,completed,10,37,85
Male,Group B,high school,standard,completed,89,26,72
Male,Group E,some college,standard,none,18,19,28
Female,Group D,associate's degree,free/reduced,none,51,61,42
Male,Group D,associate's degree,standard,completed,17,73,73
Male,Group B,some college,free/reduced,completed,93,15,33
Male,Group C,master's degree,standard,completed,31,78,30
Female,Group B,high school,free/reduced,completed,22,12,85
Male,Group A,bachelor's degree,standard,none,11,19,45
Female,Group B,associate's degree,standard,none,57,23,3
Male,Group B,high school,standard,none,76,49,1
Female,Group D,high school,free/reduced,none,20,6,4
Female,Group A,associate's degree,standard,none,20,86,45
Male,Group A,some college,free/reduced,none,92,87,78
Male,Group B,associate's degree,free/reduced,completed,92,28,18
Male,Group A,high school,standard,none,90,4,37
Male,Group A,master's degree,free/reduced,none,28,34,58
Male,Group E,some college,free/reduced,none,78,64,78
Male,Group A,associate's degree,standard,none,46,99,71
Female,Group C,bachelor's degree,free/reduced,completed,11,81,19
Female,Group A,associate's degree,free/reduced,completed,57,69,75
Male,Group D,high school,standard,none,40,86,67
Female,Group E,high school,standard,completed,18,73,52
Male,Group D,bachelor's degree,standard,completed,11,6,54
Male,Group D,some college,standard,completed,22,43,38
Female,Group C,high school,free/reduced,completed,4,71,35
Male,Group E,some college,free/reduced,none,25,12,57
Female,Group B,some college,free/reduced,none,62,93,14
Male,Group A,associate's degree,standard,none,51,81,0
Female,Group C,some college,free/reduced,none,9,77,94
Male,Group C,high school,standard,none,85,74,8
Female,Group B,high school,free/reduced,completed,38,37,22
Female,Group C,master's degree,standard,none,22,12,51
Male,Group B,some college,free/reduced,none,10,53,25
Male,Group B,master's degree,free/reduced,completed,91,43,59
Female,Group B,associate's degree,standard,completed,94,96,17
Male,Group C,master's degree,free/reduced,none,71,12,96
Male,Group B,some college,free/reduced,completed,47,24,77
Male,Group C,high school,free/reduced,none,91,23,57
Male,Group E,associate's degree,free/reduced,completed,15,28,64
Male,Group B,some college,standard,none,45,99,76
Male,Group C,associate's degree,free/reduced,none,46,69,78
Female,Group C,bachelor's degree,standard,none,94,17,100
Female,Group C,some college,standard,none,47,91,68
Male,Group A,bachelor's degree,standard,completed,79,4,13
Female,Group A,master's degree,free/reduced,none,68,17,77
Male,Group B,some college,standard,none,98,62,45
Female,Group E,bachelor's degree,standard,none,24,36,68
Male,Group B,high school,standard,none,76,70,74
Male,Group D,master's degree,free/reduced,completed,92,54,31
Male,Group D,some college,free/reduced,completed,90,72,50
Female,Group E,some college,standard,none,80,98,68
Male,Group E,high school,standard,none,36,11,99
Male,Group E,high school,free/reduced,completed,62,51,14
Female,Group A,bachelor's degree,standard,none,28,56,52
Female,Group A,bachelor's degree,free/reduced,none,57,45,70
Male,Group D,bachelor's degree,standard,completed,97,43,68
Female,Group E,associate's degree,free/reduced,completed,93,23,93
Female,Group C,master's degree,free/reduced,completed,30,8,14
Male,Group D,some college,free/reduced,none,85,11,29
Male,Group E,master's degree,standard,none,88,99,77
Male,Group C,high school,standard,none,67,100,23
Male,Group E,master's degree,free/reduced,none,98,8,87
Female,Group B,master's degree,free/reduced,completed,40,21,34
Male,Group C,bachelor's degree,standard,completed,49,16,68
Male,Group B,high school,free/reduced,completed,43,32,11
Male,Group A,master's degree,standard,completed,8,46,83
Female,Group D,some college,free/reduced,none,58,87,45
Male,Group E,bachelor's degree,free/reduced,none,89,14,68
Male,Group D,master's degree,standard,completed,90,92,35
Male,Group E,high school,standard,none,26,95,84
Female,Group B,some college,free/reduced,completed,81,32,47
Male,Group C,high school,standard,completed,93,92,66
Male,Group C,high school,free/reduced,none,58,14,92
Male,Group E,high school,standard,none,94,26,53
Male,Group B,associate's degree,free/reduced,none,2,97,88
Female,Group E,some college,standard,none,92,60,90
Female,Group E,high school,standard,none,6,67,35
Male,Group E,associate's degree,free/reduced,none,81,81,51
Female,Group C,bachelor's degree,free/reduced,none,15,84,21
Female,Group E,associate's degree,free/reduced,none,48,47,37
Male,Group C,bachelor's degree,free/reduced,completed,31,7,98
Male,Group A,associate's degree,free/reduced,completed,88,5,61
Female,Group B,high school,free/reduced,none,43,62,64
Male,Group A,associate's degree,standard,none,95,83,2
Male,Group E,associate's degree,free/reduced,completed,18,1,87
Male,Group C,high school,free/reduced,completed,2,21,7
Male,Group B,bachelor's degree,free/reduced,completed,59,20,38
Female,Group D,high school,free/reduced,completed,34,5,17
Male,Group B,some college,standard,none,28,95,2
Female,Group B,associate's degree,free/reduced,completed,74,69,17
Male,Group E,some college,free/reduced,completed,69,12,79
Male,Group A,high school,standard,completed,82,0,95
Female,Group A,high school,standard,completed,100,21,0
Female,Group D,master's degree,free/reduced,none,44,23,25
Female,Group E,some college,standard,completed,26,63,51
Female,Group B,master's degree,free/reduced,none,68,40,11
Male,Group A,some college,standard,none,89,93,37
Male,Group A,master's degree,standard,none,34,21,84
Female,Group C,master's degree,standard,none,18,60,40
Male,Group B,some college,standard,none,16,11,52
Male,Group E,high school,standard,completed,34,89,12
Male,Group A,bachelor's degree,free/reduced,none,76,3,75
Female,Group E,high school,free/reduced,completed,77,82,12
Female,Group B,bachelor's degree,standard,completed,29,79,17
Female,Group B,some college,standard,none,47,11,18
Female,Group A,associate's degree,standard,none,56,32,18
Female,Group D,high school,free/reduced,completed,16,20,69
Female,Group E,master's degree,free/reduced,none,100,99,47
Female,Group E,high school,free/reduced,none,14,72,70
Male,Group C,some college,standard,none,81,71,70
Male,Group B,associate's degree,free/reduced,completed,13,83,27
Female,Group B,associate's degree,standard,completed,13,73,91
Male,Group A,high school,standard,none,44,95,18
Male,Group A,high school,standard,none,96,91,79
Female,Group A,high school,standard,none,37,73,80
Male,Group C,some college,free/reduced,completed,62,71,85
Male,Group D,bachelor's degree,free/reduced,none,74,51,82
Female,Group A,bachelor's degree,standard,none,10,46,47
Female,Group A,master's degree,standard,none,47,96,28
Male,Group A,some college,standard,none,25,58,47
Female,Group C,associate's degree,standard,completed,66,46,18
Female,Group E,master's degree,standard,none,24,55,98
Male,Group D,associate's degree,standard,none,80,12,46
Female,Group E,associate's degree,free/reduced,completed,60,43,88
Male,Group B,high school,free/reduced,none,85,34,59
Female,Group B,associate's degree,free/reduced,none,92,28,47
Male,Group A,associate's degree,standard,completed,25,55,19
Female,Group E,some college,free/reduced,none,33,4,100
Male,Group C,high school,free/reduced,completed,89,66,18
Female,Group D,high school,free/reduced,none,8,52,41
Male,Group E,master's degree,free/reduced,none,39,100,76
Female,Group E,high school,free/reduced,none,74,59,75
Male,Group D,bachelor's degree,standard,completed,6,5,48
Female,Group E,some college,standard,none,29,47,14
Male,Group E,master's degree,standard,completed,65,79,59
Male,Group D,bachelor's degree,free/reduced,completed,29,34,67
Female,Group C,associate's degree,standard,completed,67,17,78
Female,Group D,bachelor's degree,free/reduced,completed,57,10,80
Male,Group A,master's degree,standard,completed,54,50,26
Female,Group A,high school,free/reduced,completed,13,22,74
Male,Group A,some college,free/reduced,none,76,46,54
Male,Group A,master's degree,standard,none,88,74,86
Male,Group B,bachelor's degree,standard,none,76,58,14
Male,Group C,bachelor's degree,free/reduced,none,76,56,51
Male,Group B,master's degree,free/reduced,completed,36,92,30
Male,Group E,master's degree,standard,none,43,55,89
Female,Group E,master's degree,standard,none,5,26,6
Male,Group D,high school,free/reduced,completed,25,72,12
Male,Group A,master's degree,standard,none,13,34,53
Male,Group D,associate's degree,standard,completed,7,54,12
Male,Group E,some college,standard,none,23,8,19
Male,Group A,some college,standard,none,85,17,97
Female,Group C,associate's degree,free/reduced,completed,38,43,9
Female,Group E,bachelor's degree,free/reduced,none,48,20,51
Male,Group D,bachelor's degree,free/reduced,none,84,55,36
Male,Group D,bachelor's degree,standard,none,62,47,51
Male,Group E,bachelor's degree,free/reduced,none,25,99,26
Female,Group B,high school,free/reduced,completed,9,0,33
Female,Group C,associate's degree,standard,none,76,26,99
Male,Group E,some college,standard,completed,57,44,61
Female,Group E,associate's degree,free/reduced,completed,13,62,15
Male,Group D,some college,free/reduced,none,72,57,58
Male,Group A,bachelor's degree,standard,completed,70,39,20
Female,Group A,high school,standard,none,38,62,15
Female,Group A,master's degree,standard,completed,30,37,80
Female,Group D,master's degree,standard,completed,49,28,78
Female,Group A,bachelor's degree,standard,completed,15,39,12
Female,Group E,bachelor's degree,free/reduced,completed,71,18,32
Male,Group B,associate's degree,free/reduced,none,50,87,53
Female,Group B,high school,free/reduced,none,14,55,68
Male,Group B,high school,free/reduced,none,88,43,26
Female,Group A,associate's degree,standard,none,37,64,51
Male,Group B,high school,standard,completed,78,99,64
Female,Group A,high school,free/reduced,none,88,86,43
Female,Group E,master's degree,standard,none,70,12,29
Male,Group E,high school,free/reduced,none,89,29,22
Female,Group D,bachelor's degree,free/reduced,completed,71,48,78
Male,Group D,master's degree,free/reduced,completed,81,100,99
Female,Group C,bachelor's degree,free/reduced,completed,20,74,82
Male,Group E,bachelor's degree,free/reduced,completed,15,62,93
Male,Group A,associate's degree,free/reduced,completed,66,70,15
Female,Group C,high school,standard,none,64,34,54
Female,Group E,high school,standard,completed,12,10,17
Female,Group A,high school,free/reduced,none,63,48,89
Female,Group E,high school,free/reduced,completed,60,39,16
Female,Group E,master's degree,free/reduced,completed,31,20,74
Male,Group A,some college,standard,completed,11,46,51
Female,Group E,bachelor's degree,standard,completed,94,2,44
Female,Group E,some college,standard,completed,40,29,55
Male,Group E,some college,free/reduced,completed,65,87,92
Male,Group D,some college,standard,none,7,66,53
Female,Group B,master's degree,free/reduced,completed,58,61,8
Male,Group E,some college,standard,completed,24,36,16
Female,Group A,master's degree,free/reduced,none,4,96,26
Male,Group E,associate's degree,free/reduced,completed,44,21,36
Male,Group D,associate's degree,free/reduced,completed,1,30,21
Male,Group D,associate's degree,standard,none,41,45,71
Female,Group E,master's degree,standard,none,37,75,66
Male,Group C,master's degree,standard,completed,2,44,37
Female,Group B,bachelor's degree,free/reduced,completed,45,13,98
Female,Group A,some college,free/reduced,completed,21,11,95
Female,Group A,high school,standard,completed,32,62,71
Male,Group A,high school,standard,completed,31,90,43
Female,Group A,some college,free/reduced,completed,16,76,90
Male,Group D,high school,free/reduced,none,81,87,95
Male,Group B,high school,standard,none,55,37,35
Female,Group E,high school,free/reduced,none,2,46,97
