fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
11.92,1.408,0.608,11.61,0.138,10,95,0.9918,3.28,1.92,11.34,6
7.36,0.429,0.309,8.96,0.101,42,199,1.00204,3.2,1.76,11.13,0
15.46,1.564,0.824,11.84,0.164,41,128,0.9937,3.08,0.69,13.43,5
12.85,0.605,0.955,11.4,0.191,69,141,1.00349,3.38,0.67,11.69,10
10.65,0.373,0.821,12.14,0.014,10,144,1.00366,3.46,0.64,10.22,2
11.34,1.285,0.002,8.01,0.197,10,234,1.00415,3.56,1.87,9.81,0
9.04,1.088,0.636,2.53,0.026,60,279,0.9978,3.11,1.75,8.26,7
6.97,0.847,0.051,10.23,0.165,51,55,1.00016,3.94,1.62,12.08,3
8.27,0.933,0.258,9.5,0.063,21,123,1.00168,3.0,0.97,9.61,9
13.09,1.179,0.06,11.26,0.035,8,207,0.99197,3.96,1.16,9.04,7
4.17,0.443,0.604,2.96,0.094,65,196,0.99901,2.82,1.09,12.58,9
5.39,1.595,0.687,3.33,0.132,30,186,0.99051,3.38,0.73,12.77,10
4.55,1.562,0.114,13.41,0.082,49,83,0.99746,3.2,1.16,13.27,3
4.49,1.075,0.384,11.37,0.02,9,80,0.99232,3.34,0.35,11.53,3
14.27,0.399,0.456,13.67,0.124,17,286,0.99274,3.48,0.52,14.26,9
12.44,1.12,0.369,11.5,0.181,69,26,0.99548,3.32,1.81,14.55,3
9.69,0.208,0.121,9.16,0.083,58,176,0.99649,3.3,1.58,13.65,5
5.17,0.146,0.419,9.98,0.051,57,20,0.99935,3.68,1.02,12.45,8
9.9,0.487,0.751,13.39,0.094,62,216,0.99112,3.62,1.18,10.13,4
9.68,0.794,0.071,8.89,0.019,52,53,0.99756,3.8,0.93,14.88,9
6.08,1.402,0.08,9.67,0.166,61,91,0.99274,3.1,1.56,9.92,7
9.21,1.191,0.355,2.77,0.167,40,154,0.99861,3.53,1.63,9.42,7
8.78,1.214,0.942,7.37,0.122,38,193,0.99956,3.5,1.6,11.1,3
11.39,0.738,0.669,10.89,0.077,43,156,0.99835,3.24,1.53,8.4,10
11.62,0.619,0.679,4.43,0.162,63,146,1.00107,3.38,0.65,14.85,9
4.54,0.657,0.362,3.43,0.115,19,74,0.99503,3.18,0.87,12.12,8
8.5,1.581,0.594,5.05,0.167,50,265,1.00148,2.97,1.1,11.9,8
11.51,0.16,0.01,4.0,0.13,33,14,0.99649,3.06,0.86,12.59,4
10.04,1.401,0.636,3.62,0.159,13,126,0.99726,2.93,1.58,11.48,5
14.28,0.968,0.913,6.66,0.124,62,106,0.99972,3.62,0.86,8.22,4
11.9,0.758,0.613,13.66,0.089,43,154,0.99028,3.59,0.53,12.29,2
5.96,1.188,0.874,7.85,0.192,49,151,0.99981,3.94,0.98,13.01,10
4.85,0.83,0.724,3.22,0.113,36,248,0.99928,3.68,1.97,10.92,7
11.71,1.41,0.121,1.62,0.125,10,246,0.99465,2.86,0.68,13.3,8
4.32,1.451,0.902,10.59,0.052,6,48,0.99129,3.86,1.34,9.59,3
11.03,0.733,0.066,6.05,0.129,57,100,0.99136,3.84,1.04,9.55,8
15.28,0.515,0.534,12.42,0.119,1,231,1.00385,3.33,0.42,9.13,8
10.91,0.989,0.142,10.06,0.045,71,11,1.00034,3.5,1.13,10.6,6
8.66,1.469,0.012,12.05,0.021,58,219,0.99191,3.97,1.49,13.93,7
11.72,0.416,0.422,4.44,0.125,21,211,0.99535,3.44,1.17,13.8,2
9.5,1.034,0.295,10.54,0.155,56,72,0.99889,3.89,1.78,10.68,4
10.55,1.047,0.486,4.33,0.109,20,105,1.00253,2.9,0.79,12.12,2
15.3,1.2,0.577,14.12,0.053,54,17,0.99065,3.03,0.45,13.05,6
8.63,0.297,0.044,9.73,0.137,25,242,0.99355,3.33,1.89,9.69,5
15.53,1.174,0.123,5.21,0.025,28,263,1.00335,3.5,0.94,9.18,10
14.86,1.464,0.559,4.41,0.094,5,140,0.99014,3.78,1.28,14.8,2
6.35,0.37,0.343,3.27,0.041,21,227,0.99302,3.99,1.65,12.32,8
4.83,0.456,0.729,10.57,0.045,18,161,1.00439,3.27,0.85,14.87,0
5.21,1.557,0.652,3.67,0.048,47,147,0.9992,2.86,1.52,10.36,9
4.22,0.371,0.846,9.13,0.083,70,163,0.99393,3.76,0.53,12.92,2
5.13,1.382,0.692,4.34,0.02,57,267,0.991,3.53,0.8,9.56,10
12.2,0.838,0.43,10.1,0.086,19,288,0.99042,3.04,0.55,9.83,9
4.85,0.471,0.673,12.32,0.107,65,234,0.99367,3.39,1.68,11.58,10
7.83,1.406,0.275,11.78,0.102,3,285,1.00322,3.69,0.68,10.24,6
14.14,0.768,0.306,11.53,0.083,42,295,0.99624,3.72,1.52,9.17,2
4.28,0.872,0.789,3.22,0.169,21,173,1.00081,3.4,1.9,9.84,2
13.77,0.639,0.446,1.78,0.038,40,52,1.00377,3.17,1.2,8.25,1
7.38,0.989,0.798,10.63,0.106,67,208,0.99612,3.97,1.22,12.93,8
5.42,0.345,0.822,5.84,0.022,25,219,0.99287,3.6,1.08,11.44,10
12.36,0.687,0.858,6.77,0.024,55,251,0.99776,3.29,0.85,8.66,3
11.55,1.554,0.917,0.95,0.119,52,29,1.00362,3.14,1.11,9.2,9
14.53,0.487,0.431,4.26,0.118,44,279,1.00207,3.68,1.32,8.72,5
12.82,1.085,0.319,0.99,0.177,56,49,0.99099,3.09,1.98,12.29,1
13.64,0.588,0.582,13.25,0.116,55,161,1.00039,3.01,1.89,8.66,8
7.38,1.26,0.371,4.03,0.192,70,204,0.99858,3.44,1.77,13.28,6
6.13,0.296,0.601,8.58,0.019,73,167,1.00361,3.15,1.81,8.14,9
13.01,1.555,0.706,1.07,0.029,66,239,0.99184,3.55,1.1,9.75,4
13.68,0.781,0.688,10.17,0.018,19,168,0.99801,2.94,1.42,14.23,6
15.89,0.454,0.375,5.18,0.045,7,121,1.00319,3.59,1.82,13.03,3
8.95,0.21,0.167,13.52,0.113,63,98,0.99615,3.14,0.97,8.51,9
8.46,0.355,0.431,13.38,0.133,42,47,0.99723,2.8,1.93,13.75,6
13.32,0.88,0.143,5.22,0.019,42,289,0.99106,2.95,1.01,11.45,1
8.09,0.606,0.89,13.56,0.19,59,215,0.99417,3.92,1.32,13.93,6
15.17,1.343,0.346,14.94,0.17,20,211,0.99487,3.84,1.51,12.21,3
14.3,0.746,0.154,12.47,0.066,73,225,1.00418,3.08,1.92,12.77,3
9.15,0.473,0.025,12.75,0.025,17,285,0.99424,3.73,0.72,14.95,0
13.01,1.026,0.646,4.11,0.042,27,141,0.99691,3.53,1.57,9.63,2
13.05,1.16,0.637,8.86,0.034,47,111,1.00007,3.97,1.19,12.37,4
5.24,0.351,0.341,1.48,0.033,2,123,0.99243,3.25,0.76,11.22,4
14.83,0.351,0.072,1.88,0.109,63,242,0.9973,3.62,1.62,8.28,1
10.06,0.155,0.41,14.98,0.057,62,105,1.00108,2.88,1.24,8.1,3
13.92,1.205,0.311,5.24,0.078,19,266,1.003,3.28,1.42,8.83,0
7.84,1.096,0.677,11.35,0.198,17,291,0.99939,3.96,0.85,12.54,8
14.75,0.812,0.606,12.2,0.14,69,108,1.00004,3.45,1.12,11.97,0
8.67,1.366,0.365,12.94,0.19,39,68,0.99189,3.15,1.35,11.87,5
4.13,1.309,0.218,14.97,0.037,71,180,1.00419,2.94,0.99,8.22,6
14.86,0.978,0.988,4.0,0.083,39,287,0.99199,3.64,0.64,11.29,2
5.1,1.402,0.454,1.09,0.115,36,298,1.00162,3.57,1.93,14.47,0
7.83,0.409,0.688,6.46,0.025,40,231,0.99397,3.25,1.17,10.78,6
15.4,0.268,0.141,2.39,0.011,45,12,1.004,3.94,1.55,12.37,2
15.41,0.505,0.486,0.83,0.137,4,132,1.0008,2.83,1.0,13.46,9
10.88,0.186,0.028,5.73,0.132,25,97,1.00131,3.16,0.9,13.49,5
11.58,0.897,0.505,11.86,0.088,69,195,0.99329,3.91,0.99,11.63,5
9.38,1.505,0.964,8.71,0.103,30,58,0.99665,3.19,1.0,14.01,3
7.52,0.159,0.384,5.04,0.089,68,247,0.99927,3.1,1.23,10.74,10
7.94,0.283,0.039,9.99,0.015,29,137,1.00155,3.44,1.22,14.22,5
12.07,0.778,0.031,3.86,0.074,73,117,0.99156,3.79,1.15,9.68,10
13.03,1.501,0.388,0.71,0.044,68,12,1.00444,2.92,0.53,9.96,9
13.5,0.574,0.16,11.58,0.029,51,235,1.00335,3.93,1.14,8.37,3
13.48,0.861,0.023,9.54,0.192,24,161,0.99406,3.75,0.59,13.57,7
5.09,0.162,0.756,11.55,0.124,14,202,1.00234,3.02,0.51,10.92,8
9.93,0.323,0.459,1.06,0.148,69,228,0.99777,3.65,1.89,9.6,1
4.69,1.58,0.289,12.64,0.07,18,255,0.99693,3.26,1.33,9.62,6
10.59,1.548,0.9,9.48,0.085,42,88,0.99472,3.28,1.42,14.31,8
9.3,0.107,0.116,8.67,0.055,57,245,0.99871,3.74,0.98,13.84,8
14.65,1.528,0.956,9.56,0.028,12,268,1.00095,3.96,1.85,11.87,4
8.21,1.059,0.314,13.03,0.044,17,194,0.99616,2.95,1.38,12.31,0
5.4,1.402,0.888,9.01,0.162,30,295,0.99944,3.3,1.61,11.32,5
5.72,0.782,0.603,8.92,0.139,23,63,1.00049,3.38,0.93,10.74,7
13.14,0.873,0.827,14.86,0.114,1,14,1.00067,3.25,1.93,14.41,0
11.42,0.833,0.984,11.47,0.1,32,120,0.99078,3.24,1.69,8.88,1
5.21,1.1,0.288,6.91,0.185,9,215,1.0029,2.86,1.75,10.93,0
5.01,0.309,0.961,10.76,0.024,15,46,0.99687,3.62,0.59,10.41,4
12.41,0.145,0.389,6.14,0.063,28,178,0.99394,3.32,0.76,11.49,1
4.87,0.562,0.386,3.82,0.076,24,239,0.99363,3.03,0.79,11.2,9
13.86,1.157,0.34,9.15,0.159,60,286,0.99725,3.78,0.76,11.63,9
12.47,0.403,0.541,13.96,0.199,35,83,1.0033,3.76,1.75,8.98,3
4.98,1.11,0.154,13.97,0.056,27,113,0.99568,3.38,0.35,11.59,0
5.02,1.555,0.554,5.46,0.176,20,286,1.00125,3.16,0.43,9.7,6
15.84,0.241,0.542,8.15,0.168,65,44,0.99145,3.57,0.77,9.29,7
8.49,1.109,0.762,3.57,0.053,49,124,0.99714,3.15,0.64,8.45,4
8.45,0.766,0.834,14.94,0.086,1,32,1.00488,3.08,0.69,13.34,1
13.75,1.402,0.44,14.73,0.088,10,109,1.00156,3.68,1.66,10.99,7
15.37,0.366,0.302,9.92,0.196,47,79,0.99316,2.85,1.26,12.39,0
15.83,1.139,0.259,12.16,0.044,59,196,0.99752,2.91,0.31,13.09,6
13.04,1.357,0.195,10.87,0.162,62,152,0.9935,2.81,1.03,12.76,0
8.52,1.517,0.058,9.1,0.073,18,260,0.99614,2.98,0.99,11.29,5
5.0,1.125,0.342,1.27,0.149,46,289,1.0017,2.88,0.49,10.72,5
13.33,0.846,0.27,7.09,0.09,32,218,1.00157,3.99,1.45,10.63,4
10.7,1.027,0.966,10.28,0.12,27,128,0.99342,3.15,1.49,12.48,1
9.09,1.403,0.558,10.32,0.168,18,211,1.00383,2.98,1.53,11.46,1
14.88,0.956,0.347,5.91,0.163,39,245,0.99889,3.09,1.54,13.94,8
5.33,0.146,0.58,14.15,0.175,49,291,0.9957,3.92,0.3,14.12,4
9.91,1.496,0.139,2.93,0.021,44,27,0.99753,3.42,1.92,9.19,4
4.14,1.134,0.444,7.76,0.141,72,264,0.99908,3.24,1.68,8.95,6
9.62,1.115,0.626,10.52,0.037,54,110,0.9984,3.85,1.84,12.41,5
4.68,0.424,0.489,10.61,0.089,34,263,0.9973,3.27,0.33,10.11,1
5.43,1.088,0.402,9.91,0.114,71,209,0.99757,3.2,1.89,8.13,10
5.41,0.691,0.994,4.49,0.087,36,267,0.99265,3.05,1.68,14.22,0
11.79,1.077,0.88,2.76,0.109,18,112,1.00219,3.25,1.72,9.59,4
12.95,0.26,0.623,9.72,0.199,38,256,0.99813,3.18,0.46,14.5,3
11.0,1.087,0.569,9.19,0.036,59,226,0.99197,3.61,1.56,13.02,2
15.55,1.599,0.621,3.1,0.138,9,227,1.00149,3.15,1.93,13.34,1
8.5,0.172,0.201,10.72,0.085,73,263,1.00399,3.49,1.45,9.41,9
7.43,1.566,0.395,7.1,0.035,72,206,1.00421,2.88,1.27,9.64,1
14.42,0.71,0.039,10.18,0.04,51,263,0.99554,3.03,1.91,11.65,3
6.68,1.406,0.476,12.64,0.19,35,230,0.99203,3.29,1.05,9.2,1
15.56,1.274,0.543,2.96,0.177,5,207,0.99778,3.92,1.32,10.14,3
4.15,0.951,0.228,0.78,0.182,14,231,0.99169,3.25,1.11,10.25,2
15.64,1.208,0.964,11.8,0.198,30,241,1.00401,3.6,1.89,9.12,8
4.52,1.418,0.909,9.34,0.05,4,188,0.99275,3.11,0.43,9.44,6
14.69,0.706,0.722,10.64,0.078,39,205,0.99379,2.95,1.15,13.52,10
10.33,0.591,0.533,12.65,0.137,64,251,0.9961,2.87,1.47,9.17,2
15.92,1.101,0.87,12.14,0.102,25,116,0.99575,3.17,1.65,8.2,7
4.89,1.312,0.131,14.43,0.089,28,11,1.00192,2.99,1.29,12.41,8
10.65,1.243,0.791,8.27,0.078,66,241,0.99684,3.01,1.85,14.83,6
15.63,1.297,0.125,7.58,0.123,22,132,0.99256,3.71,1.9,10.32,5
10.28,0.753,0.794,6.33,0.119,31,109,0.99401,2.82,0.41,8.83,3
11.55,1.327,0.276,2.73,0.041,23,242,0.99764,3.47,0.98,11.99,4
12.35,0.28,0.877,8.8,0.1,48,160,0.99221,3.26,0.34,14.34,7
9.45,0.917,0.944,4.52,0.115,20,262,0.99917,3.41,0.86,13.49,2
11.53,0.109,0.149,13.86,0.118,38,240,0.99849,3.48,1.21,12.36,1
11.01,0.587,0.463,8.96,0.05,55,294,1.00072,3.18,1.85,10.21,2
14.81,0.65,0.981,9.1,0.151,68,45,1.00407,3.15,1.74,11.79,6
4.55,0.694,0.483,5.65,0.015,1,293,1.00368,3.68,0.52,8.64,7
7.37,1.143,0.864,1.25,0.077,7,202,1.00419,3.85,0.46,12.75,0
15.4,0.683,0.589,0.96,0.158,57,278,0.99367,3.03,1.3,13.08,6
14.68,0.773,0.375,6.64,0.117,12,269,0.99197,2.92,1.2,14.76,8
9.47,0.456,0.286,1.73,0.06,5,62,0.99453,3.88,0.75,9.82,2
11.44,0.66,0.203,9.3,0.142,50,103,1.00343,3.22,1.83,8.13,2
7.33,0.441,0.762,13.27,0.118,42,142,1.00458,3.46,1.88,11.82,7
6.26,0.21,0.387,13.3,0.161,12,92,1.00289,3.23,0.98,12.95,3
9.56,1.005,0.511,10.06,0.15,18,247,0.99165,2.95,1.81,13.53,7
8.24,1.102,0.492,3.56,0.126,66,204,1.00421,3.51,0.95,9.36,4
11.0,1.029,0.577,13.01,0.103,74,89,0.99635,3.43,1.55,9.83,2
4.93,0.795,0.866,13.35,0.035,17,247,0.99014,3.04,1.11,11.59,3
15.69,0.67,0.981,3.35,0.06,68,286,0.99664,3.34,0.51,10.31,3
15.83,1.395,0.408,11.19,0.09,71,257,0.99069,3.76,1.88,14.02,7
12.38,0.879,0.828,4.65,0.124,62,195,0.99816,3.51,1.07,11.32,5
10.43,0.819,0.765,12.14,0.108,41,157,0.99508,2.92,1.55,13.6,6
7.71,0.138,0.574,14.96,0.065,34,283,0.9971,3.46,0.92,12.06,8
13.77,0.612,0.956,0.94,0.011,70,144,0.9992,3.64,0.33,13.41,5
12.22,0.67,0.2,13.51,0.104,45,181,1.00303,3.75,0.47,10.33,2
5.95,0.698,0.109,9.53,0.064,58,13,0.99993,3.55,1.14,13.82,2
14.93,0.97,0.854,14.61,0.15,51,240,0.99651,2.98,1.47,9.92,10
13.87,0.9,0.439,7.24,0.015,34,168,1.00229,3.65,0.87,11.82,2
15.4,1.012,0.847,12.79,0.121,44,54,1.00358,3.61,1.48,9.5,9
12.71,1.247,0.893,1.4,0.189,15,43,0.9918,2.83,1.49,11.33,1
11.36,1.319,0.062,5.36,0.043,70,141,0.99798,3.29,1.5,10.23,0
9.02,1.177,0.883,1.47,0.1,50,224,0.99427,3.2,1.14,9.87,10
15.19,1.533,0.448,14.64,0.027,32,39,0.99071,3.6,1.86,14.77,9
14.39,0.127,0.51,12.35,0.129,67,84,1.00003,3.06,1.13,9.12,0
4.54,0.394,0.627,12.86,0.115,3,241,1.00294,3.51,1.07,13.51,3
4.32,0.111,0.926,14.1,0.087,74,278,0.99244,3.9,0.64,14.89,2
8.52,1.071,0.019,1.73,0.109,51,166,1.00219,3.76,0.82,8.14,4
13.73,1.447,0.477,6.09,0.18,67,180,1.0028,3.91,0.37,12.89,8
15.85,0.465,0.688,1.53,0.047,48,226,1.00372,3.97,1.38,9.77,7
5.81,1.491,0.723,3.56,0.014,17,14,0.99398,2.81,0.72,8.28,8
11.13,0.19,0.693,3.83,0.174,7,294,1.00356,3.55,0.82,10.82,4
8.57,1.502,0.134,7.3,0.12,13,118,0.99481,3.3,1.61,14.55,7
15.64,0.627,0.299,4.39,0.179,66,210,0.99829,3.83,0.86,8.08,3
14.11,0.252,0.359,1.96,0.123,4,191,0.99076,3.1,0.71,12.12,4
14.06,0.829,0.804,2.93,0.164,10,202,0.99066,3.98,0.59,11.51,2
9.62,0.485,0.279,2.64,0.092,17,271,1.00081,3.54,1.62,14.11,4
8.98,0.527,0.211,14.61,0.152,52,267,0.99667,3.75,0.52,8.59,2
7.28,0.561,0.957,11.51,0.183,6,253,0.99384,2.9,1.07,12.77,4
4.68,1.305,0.009,14.53,0.119,69,120,0.99286,3.02,1.16,12.76,10
14.38,0.909,0.998,6.88,0.044,74,126,1.00005,3.71,1.47,12.68,4
13.75,0.567,0.677,4.54,0.061,9,146,0.99001,2.83,1.38,14.6,5
16.0,1.016,0.828,12.08,0.048,21,70,1.00209,3.78,1.68,13.76,8
15.96,1.174,0.295,5.23,0.057,24,281,0.99119,2.82,0.38,8.29,0
10.67,0.509,0.014,4.84,0.068,4,244,0.99287,3.59,0.8,11.3,9
13.23,0.72,0.738,3.87,0.115,24,15,0.99579,3.24,0.78,10.79,5
15.34,0.283,0.834,2.38,0.122,59,238,0.99727,3.53,0.55,10.17,0
14.2,0.372,0.74,4.22,0.091,3,200,0.99532,3.64,0.79,11.16,5
6.97,1.122,0.143,5.65,0.127,68,17,0.99481,3.21,0.83,10.69,1
9.41,0.372,0.753,10.27,0.025,40,182,1.00446,2.93,1.19,11.03,7
5.55,0.888,0.769,1.41,0.027,48,182,0.99962,2.88,1.43,14.85,10
15.45,1.164,0.659,3.55,0.043,54,222,0.99035,3.51,0.95,8.62,2
11.27,0.26,0.766,12.23,0.108,35,16,0.99645,3.42,1.52,14.46,9
6.74,0.951,0.846,2.63,0.051,56,123,1.00313,3.69,0.87,11.36,5
12.06,0.485,0.614,5.47,0.064,40,169,0.99452,3.41,0.79,12.37,5
11.42,1.544,0.089,13.04,0.086,68,44,0.99142,3.31,1.22,13.81,3
8.3,0.825,0.488,2.75,0.164,46,58,1.00138,3.28,0.34,10.52,4
5.36,1.309,0.078,1.7,0.013,13,223,0.99909,2.83,0.44,11.01,1
12.06,0.925,0.408,7.53,0.133,27,211,0.99855,3.2,1.01,10.87,9
10.24,0.165,0.407,4.89,0.137,6,61,0.9908,3.97,1.9,10.62,9
13.27,1.05,0.066,8.67,0.162,17,123,0.99211,3.85,1.53,14.48,7
10.24,1.527,0.349,12.16,0.187,36,258,0.99934,3.2,0.45,13.8,9
14.23,1.002,0.111,2.49,0.014,2,291,0.99312,3.51,1.74,8.76,6
10.62,1.329,0.808,8.92,0.039,52,273,0.99756,3.82,1.54,8.76,9
10.73,1.426,0.948,7.83,0.178,66,296,0.99817,3.33,1.34,11.0,5
14.52,0.442,0.072,2.59,0.097,52,185,0.99425,2.82,1.69,8.69,6
8.84,0.418,0.955,9.55,0.117,43,240,1.00423,2.89,0.99,12.33,0
5.61,1.016,0.523,4.47,0.136,22,201,1.00264,3.41,0.68,9.01,4
4.35,0.717,0.3,7.57,0.139,55,85,1.00084,3.96,1.17,11.66,6
13.06,1.36,0.077,1.69,0.187,67,140,0.99117,3.63,1.23,8.05,0
11.44,1.45,0.501,7.16,0.199,60,27,0.99159,2.89,1.22,10.22,1
12.45,0.63,0.795,4.94,0.147,58,230,0.99739,3.03,1.26,12.74,8
6.56,0.455,0.707,12.42,0.065,12,63,0.99241,3.73,1.91,11.39,2
5.64,1.271,0.05,1.33,0.177,69,98,1.00467,3.81,1.83,14.85,5
4.17,0.512,0.073,6.57,0.019,39,197,0.99238,3.54,1.79,14.12,6
8.21,1.334,0.403,7.15,0.054,13,108,0.99731,3.57,1.66,10.51,8
11.08,0.736,0.295,11.01,0.181,41,12,0.99546,2.83,1.9,8.32,4
8.71,1.101,0.232,8.83,0.059,57,133,0.99959,3.79,0.47,13.92,3
9.25,0.243,0.281,10.17,0.052,53,60,0.99194,3.75,0.75,14.38,10
14.85,1.036,0.803,11.77,0.036,12,236,0.99645,3.11,1.14,13.74,1
8.18,0.778,0.929,13.0,0.173,13,67,0.99412,3.65,1.74,8.9,2
10.17,0.98,0.405,5.05,0.105,74,245,1.00332,3.06,1.16,14.99,4
13.4,0.352,0.906,8.3,0.138,57,95,0.99061,2.85,1.57,9.81,10
8.76,1.205,0.321,12.68,0.055,40,237,1.00371,3.04,0.54,13.07,1
11.47,1.394,0.476,14.85,0.154,45,238,1.00249,3.01,0.73,14.36,3
14.35,0.425,0.226,13.4,0.154,35,297,0.99446,3.21,1.54,9.65,0
15.39,0.244,0.64,5.89,0.069,3,157,1.00184,3.3,0.58,14.36,3
5.76,0.135,0.979,3.33,0.088,5,150,0.99047,3.41,0.9,10.17,6
15.12,1.063,0.603,7.6,0.05,11,135,1.0045,3.37,0.75,14.83,2
9.91,1.011,0.358,11.25,0.196,71,146,0.9979,3.12,0.89,9.97,9
7.1,0.92,0.648,7.64,0.133,56,98,0.99455,2.84,1.5,14.67,7
9.51,0.448,0.123,7.51,0.188,10,119,0.99544,3.53,0.93,8.37,5
15.76,0.686,0.889,12.65,0.068,34,289,0.991,3.27,1.24,12.96,5
9.91,0.992,0.503,5.74,0.159,67,148,1.00484,3.16,0.47,11.72,0
7.95,0.845,0.449,12.97,0.156,72,228,0.99059,3.84,1.67,11.35,4
11.6,1.582,0.586,6.4,0.141,31,237,0.99982,3.7,0.93,9.56,2
6.88,0.305,0.625,5.26,0.193,71,38,0.99664,3.83,1.4,12.94,9
4.91,1.143,0.072,7.08,0.085,66,281,1.00423,3.39,1.53,9.34,0
5.55,0.706,0.683,11.56,0.035,70,175,0.99369,2.96,0.66,11.87,7
5.54,0.742,0.242,2.33,0.138,41,145,0.99798,3.64,1.8,9.77,6
5.82,1.176,0.714,3.35,0.149,63,206,0.99724,3.05,1.35,14.69,6
5.67,1.139,0.823,14.3,0.119,32,28,1.00054,3.33,1.03,8.2,9
11.69,1.587,0.804,3.04,0.049,20,229,0.99102,2.88,0.61,9.4,9
6.18,0.293,0.553,8.73,0.106,57,275,0.99291,3.79,1.9,9.7,9
8.15,0.256,0.52,8.9,0.069,50,158,0.99322,2.95,1.58,10.9,3
14.76,1.187,0.143,7.6,0.091,25,90,1.00107,3.88,0.65,9.63,10
9.69,0.968,0.775,9.85,0.133,12,114,0.99284,3.84,0.87,11.44,5
12.01,0.511,0.271,3.83,0.152,71,36,0.9986,3.36,1.68,14.11,8
6.07,0.219,0.497,8.51,0.054,39,234,0.99323,3.69,1.48,12.98,2
6.31,0.228,0.284,5.9,0.087,17,245,1.00292,3.54,1.6,12.06,8
4.49,1.441,0.134,10.09,0.061,45,146,1.00413,3.76,1.05,8.62,3
6.03,0.388,0.63,2.55,0.048,11,161,0.99778,3.32,1.52,12.86,4
7.34,0.585,0.054,8.78,0.159,70,104,0.99528,3.74,0.96,9.16,6
6.12,0.44,0.749,3.19,0.183,23,52,0.99351,3.35,0.66,13.5,5
5.06,0.632,0.318,4.54,0.08,70,72,0.99075,3.93,1.38,9.75,9
5.45,0.204,0.0,3.67,0.153,38,67,0.99403,3.38,1.96,10.92,7
9.53,0.879,0.511,3.15,0.18,2,114,0.99981,3.36,0.83,10.45,7
6.48,0.201,0.047,12.47,0.171,72,172,0.998,3.74,1.08,14.01,7
8.37,1.301,0.276,4.64,0.045,37,42,1.00416,3.79,1.45,8.89,2
10.04,0.451,0.707,13.94,0.192,49,124,0.99594,3.47,1.22,11.96,9
12.28,0.91,0.063,14.56,0.082,52,91,1.00041,3.02,1.73,8.99,5
4.47,1.42,0.839,8.78,0.074,33,57,0.99734,3.36,1.59,12.93,6
13.59,1.076,0.004,2.57,0.022,22,96,0.99769,3.96,0.4,14.34,8
11.53,0.899,0.247,5.93,0.102,5,294,0.99402,3.7,2.0,11.04,9
4.98,0.587,0.741,12.07,0.031,18,209,0.99682,3.77,1.58,11.42,9
14.48,0.6,0.316,5.83,0.057,38,243,0.99706,2.84,1.77,14.49,3
15.05,1.104,0.102,1.76,0.07,37,160,1.0006,3.36,1.41,11.65,4
4.73,1.591,0.36,8.57,0.164,64,245,1.00411,3.58,1.76,11.41,7
7.32,1.093,0.27,12.75,0.176,10,141,0.99494,3.8,0.49,12.05,0
13.67,0.937,0.843,12.04,0.067,42,69,0.99063,2.86,0.89,12.82,5
12.98,1.196,0.313,3.04,0.173,48,128,0.99744,3.82,1.79,8.75,3
6.21,0.798,0.789,10.26,0.173,44,259,0.99817,3.46,0.64,13.75,4
6.51,0.19,0.892,3.7,0.155,16,119,0.99253,3.04,0.43,11.05,10
8.45,0.943,0.434,3.66,0.038,54,25,1.00141,3.18,1.64,8.51,4
9.81,1.536,0.91,13.17,0.141,35,21,1.00477,3.14,1.72,13.5,1
11.42,0.363,0.377,4.12,0.19,28,150,1.00419,3.44,0.58,10.64,7
8.43,1.135,0.964,4.32,0.14,2,213,0.99296,2.86,1.75,8.7,1
9.55,0.401,0.089,0.51,0.073,13,24,1.00313,2.99,1.47,12.44,3
12.97,0.904,0.687,13.12,0.105,41,171,1.00057,3.78,1.18,14.16,4
4.44,0.245,0.494,11.99,0.133,59,43,0.99681,2.96,1.71,14.21,0
7.03,0.776,0.388,9.6,0.107,69,186,0.99811,3.08,1.01,14.7,5
12.56,1.234,0.633,11.38,0.033,53,110,1.00274,3.34,0.63,14.07,1
14.74,0.621,0.704,2.7,0.069,45,105,0.9972,3.42,0.78,8.01,4
10.14,1.097,0.004,7.15,0.162,20,95,0.9956,3.72,1.16,10.66,5
10.39,1.293,0.167,5.59,0.174,24,84,0.9974,3.34,1.2,13.73,10
5.29,1.491,0.713,1.86,0.036,61,78,0.99869,3.75,1.67,10.56,7
9.37,0.452,0.666,7.55,0.191,58,181,0.99284,3.54,1.65,12.21,8
10.39,0.699,0.966,13.85,0.072,27,101,1.00351,2.94,1.29,12.24,5
6.91,0.329,0.761,1.08,0.136,26,108,1.00011,2.99,1.63,10.56,4
7.23,1.589,0.951,4.73,0.153,7,229,0.9995,3.32,0.63,14.33,3
8.53,1.491,0.703,3.51,0.164,42,11,0.99149,3.28,0.39,11.52,1
4.24,0.91,0.298,3.95,0.19,47,127,0.99906,3.69,1.79,11.25,1
7.86,1.363,0.105,13.67,0.069,53,241,0.99181,3.5,0.43,14.98,6
6.54,0.881,0.782,7.29,0.173,59,121,0.99118,3.27,0.72,11.45,4
7.93,1.035,0.644,7.26,0.035,38,168,0.99791,3.0,1.48,9.25,6
5.44,0.234,0.048,11.53,0.144,69,231,0.99604,3.07,1.0,11.59,10
14.69,1.233,0.36,2.74,0.151,53,235,0.99883,3.49,1.79,13.7,0
